日期,JKM 月份,JKM 价格,HH 月份,HH 价格,NBP 月份,NBP 价格
20220830,10,55.871,10,9.042,10,51.447
20220831,10,59.073,10,9.127,10,52.148
20220901,10,49.774,10,9.262,10,56.158
20220902,10,49.381,10,8.786,10,46.296
20220905,10,62.77,10,0.0,10,53.97
20220906,10,46.026,10,8.145,10,49.585
20220907,10,47.701,10,7.842,10,47.029
20220908,10,38.635,10,7.915,10,46.51
20220909,10,43.531,10,7.996,10,42.612
20220912,10,39.091,10,8.249,10,40.374
20220913,10,36.966,10,8.284,10,43.994
20220914,10,42.191,10,9.114,10,48.809
20220915,10,46.871,10,8.324,10,43.652
20220916,11,41.722,10,7.764,10,34.266
20220919,11,38.186,10,7.752,10,0.0
20220920,11,38.659,10,7.717,10,36.492
20220921,11,44.813,10,7.779,10,31.737
20220922,11,39.773,10,7.089,10,32.678
20220923,11,38.212,10,6.828,10,29.518
20220926,11,35.319,10,6.903,10,25.971
